"category_id","parent_category","name","description","bottom_desc","image"
"47","0","Armor Refinements","Elevate your defense in Ultima Online with Armor Refinements, the key to personalizing and enhancing your armor beyond standard capabilities. These unique items allow players to boost their armor's protective properties, such as increasing resistances against physical and elemental damage or adding valuable traits like Damage Reduction and Reflect Physical Damage. Refinements are specific to different types of armor piecesâ€”whether it's helmets, chest plates, or glovesâ€”and require a thoughtful approach to combine and apply them effectively. 

Armor refinements are small trinkets used for the purpose of over capping and under capping stats and resists for the purpose of PVP/PVM. The armor refinements available from this category are for reinforcement, which lowers defense chance increase but allows the over capping of resists. There are 2 types of Ultima Online Armor Refinements, there's reinforced and deflecting.
<ul>
<li>Invulnerability â€“ Applies four modifications with a chance to apply five modifications.</li>
<li>Fortification â€“ Applies three modifications with a chance to apply four modifications.</li>
<li>Hardening â€“ Applies two modifications with a chance to apply three modifications.</li>
<li>Protection â€“ Applies one modification with a chance to apply two modifications.</li>
<li>Defense â€“ Applies one modification.</li></ul>",,"refinements.png"
"48","0","Potions","Ultima Online Potions have become a major part of the PvP scene in Ultima Online. Anyone who plans to be a serious contender now stocks up on essential potions needed during combat. Some are used for buffs while others can heal and cure you. There are even potions that explode when thrown, damaging anything in the area. The cure and heal ultima Online potions help keep you alive while the strength agility potions are great stat buffs.  The poison potions can be applied to weapons so that they infect on hit.",,"potions.png"
"49","0","Statues","The Ultima Online statues you will find here are a mix of reward turn-in and veteran based. There were recently new UO statues added to the mix and we have worked to add them all here. Most of these Ultima Online statues have a on and off setting that allows noises to be generated when walking by them. ",,"statues.png"
"50","0","Reagents","Ultima Online reagents are important to have in UO! Here is where you can find all the Ultima Online reagents used for casting spells for skills like Magery, Necromancy, Mysticism, and Spellweaving.  An reagent is used to make potions as well for the alchemy skill.  All potions will require some form of reagent based resource to craft.  ",,"reagents.png"
"51","0","Crest Of Blackthorn","Ultima Online Crest of Blackthorn are The rewards from blackthorn's castle bear the crest and are all visual remakes of other artifact items in existence. Lord blackthorn items come from the blackthorn castle that use to be empty until the introduction of Minax artifacts. Get a unique look for your character that makes you stand out on the battle field. You'll definitely be noticed if you're running around bearing the Ultima Online Crest of Blackthorn on your armor. ",,"blackthorn-items.png"
"52","0","Ingots","In Ultima Online, ingots are a fundamental resource essential for crafting and blacksmithing. Players gather these materials by mining ore from various types of veins scattered across the game's world. Once mined, ores must be smelted into ingots, each type corresponding to different metals such as iron, copper, or rare varieties like valorite and verite. These ingots are crucial for crafting a wide range of items, including weapons, armor, and tools. Higher-quality ingots like valorite not only enhance the durability and effectiveness of crafted items but are also sought after for their rarity and the superior properties they bestow. Crafters often seek out these ingots to create exceptional and powerful gear. Additionally, specific quests and activities may require certain types of ingots, adding another layer of utility and demand within the game. For those looking to excel in blacksmithing or to trade valuable resources, mastering the art of mining and ingot production is a vital part of the Ultima Online experience. 

 Grab every type of Ultima Online ingots here in bulk.  These Ultima Online ingots come to you as commodity deeds which can be broken out of their deed in a bank box or commodity deed box.  Get full set or individual Ultima online ingots for sale, all at great prices here at UO King. There are a total of 9 ingot types found in Ultima Online, 8 colors and iron. Each ingot type, does require a  certain level of mining in order to dig it up. When you enhance things with colored ingots the effects are different based on armor, weapons or shields, as well as, color. ",,"ingots.png"
"53","0","Gems","Gems in Ultima Online are not just sparkling ornaments but key components in various aspects of the game, from crafting powerful items to enhancing equipment with magical properties. These precious stones, including Diamonds, Rubies, Sapphires, and Emeralds, play a vital role in the economy and the enhancement of your character's abilities.  Check out all of the rare mining gems for sale here. These rare gems are used for many things including imbuing ingredients.  A gem is known to be found as loot on named bosses in abyss. Fishermen, lumberjacks and miners are the only professions that yield these gems. Each one has a 0.6% chance of farming a rare gem with each action. The drops for gems are completely random each time.  <BR><BR>

Each gem holds unique properties that can be harnessed for different purposes. Diamonds, for instance, are revered for their unparalleled clarity and strength. They are frequently used in crafting high-quality weapons and armor, adding durability and sharpness that can give you an edge in battle. A diamond-encrusted weapon not only deals more damage but also stands the test of time, maintaining its lethal edge longer than its standard counterparts.",,"gemset.png"
"54","21","Belts Aprons","In the realm of Ultima Online, Belts and Aprons transcend their humble origins as mere fashion accessories to become essential components of a player's gear arsenal. These versatile items can transform the ordinary into the extraordinary, offering game-changing enhancements that boost your character's capabilities. Imagine slipping on the Crimson Cincture, which not only sharpens your agility with increased Dexterity but also invigorates your stamina, making you a relentless force on the battlefield. Or consider the Tangle, an apron that wraps its wearer in an aura of mana regeneration and defensive prowess, turning the tide in magical duels and fierce skirmishes alike.  Check out all of the artifact and crafted belts, aprons and other waist slot items for your character. Ultima Online belts have come a long way to now offering much needed stats on certain types of drops. ",,"beltsaprons.png"
"55","0","Shard Bound","The Ultima Online items listed here are Shard Bound to <strong>Atlantic Server Only</strong>. All orders must be for Atlantic in order to be delivered.  Message live chat to discuss other shards besides Atlantic.  With the release of new events every few months, some of the shard bound items become easier to get.  It's likely, we have new shard bound items available to purchase on all shards.",,"shardbound.png"
"56","0","Dyes","Imagine walking through the bustling streets of Britain or the serene landscapes of Yew in Ultima Online, where the vibrancy of your attire and the uniqueness of your gear set you apart. Dyes in this expansive universe are not just about changing colors; they are about creating a canvas where your character's story and style are vividly displayed. Picture dipping your Leather Tunic into a pot of Luna White or Phoenix Red, emerging with an item that now reflects the fire of your adventures or the purity of your quest. ","Dyes in Ultima Online are magical elixirs that breathe life into every piece of your wardrobe and furnishings. Each dye tells a tale, whether it's the Tokuno Dyes that you earned through perilous battles and heroic deeds, or the serene tones of Natural Dyes collected from the lush flora of Britannia. The Pigments of Tokuno bring forth colors so rare and enchanting that they make even the simplest armor piece look legendary. There are many dyes in Ultima Online, such as the famous paragon gold from the Tokuno collection and newer ones from natural dyes and trash turn-in points.","dyes.png"
"57","0","New Legacy Gold","Discover the ultimate destination for all your UO gold needs on the new Ultima Online server, New Legacy. At UO King, we understand the importance of gold in enhancing your gaming experience, and we're here to provide you with a seamless, reliable, and secure way to get the gold you need.

Why Choose UO King for New Legacy UO Gold?
Trustworthy Service: With years of experience in the industry, UO King is a name you can trust. We have a proven track record of delivering high-quality service and customer satisfaction.

Fast Delivery: Time is of the essence, and we ensure quick and efficient delivery of your UO gold. Your order will be processed promptly to get you back in the game without delay.
Competitive Pricing: We offer the best rates for UO gold on the New Legacy server. Our prices are competitive, ensuring you get the most value for your money.

Secure Transactions: Your security is our priority. We utilize state-of-the-art encryption and secure payment gateways to protect your personal and financial information. Get all of the new legacy gold from Ultima Online here at UO King.  Check out this new server set back in time, lead by Mesanna. 

The crave for <strong>Ultima Online new legacy gold</strong> comes from the style of the server and how the economy there functions.  Demand will be very high on launch day and those able to acquire some quickly will have the upper hand. ",,"newlegacy.png"
"58","0","New Legacy","Ultima Online: New Legacy is a fresh take on the classic MMORPG experience, introducing a new server with a unique ruleset aimed at rekindling the nostalgia of Ultima Online while offering a modern twist. This server is designed with a focus on storytelling, RPG elements, and a seasonal progression system that provides players with the opportunity to make a lasting impact on the world of Britannia.

One of the standout features of New Legacy is the Legacy System, which allows players to craft their avatarâ€™s journey as they build their personal stories in real-time. Your characterâ€™s achievements, acts of virtue, and deeds can be immortalized in the game through statues, paintings, and epic tales, making your legacy a part of Britanniaâ€™s history for future generations to see. This system includes special commendations, medals, and the ability to build a family name that will carry on through different seasons of gameplayâ€‹.",,"0"
